,index,Authors,Year of Publication,Title,Author Keywords,KeyWords Plus,Abstracts,ISO-4 Journal Abbreviation
33,2312,"CHENG, Y; KALLEBERG, AL",1996,Employee job performance in Britain and the United States,quality performance; quantity performance; ability; motivation; task characteristics; country differences,ORGANIZATIONAL COMMITMENT; ANTECEDENTS,"This paper examines the determinants of employee job performance in the U.S. and Britain. We use two nationally representative data sets (the 1991 General Social Survey and the 1992 Employment in Britain survey) that contain comparable indicators of job performance and of motivation, ability and task characteristics. American employees were more likely to report higher levels of performance quantity and (especially) quality. Most of our explanatory variables affected the two dimensions of performance in similar ways in the two countries. Both quality and quantity performance were more strongly affected by income in the U.S. Quality of performance was more strongly related to the size of the workplace in Britain. Quantity of performance was more strongly related to the importance placed on promotion and to task significance among American workers.",Sociol.-J. Brit. Sociol. Assoc.
34,1382,"HARTMANN, M; KOPP, J",2001,"Elite selection by means of education or by means of social origin? Doctorate, social origin and the recruitment of the German business elite",elite selection; German business elite; social origin; educational career; professional career; class origin,STATISTICAL-INFERENCE; APPARENT POPULATIONS; HABITUS; FRANCE,"Does the social origin have a direct effect on the unequal recruitment of the German business elites? Or, does the social origin have an indirect effect on the unequal recruitment only, by means of the unequal participation in the educational system as suggested by the functionalist elite theory? This question is examined with special reference to the business elite. For the 6.500 engineers, jurists, and economists, who received a doctor's degree in the years of 1955, 1965, 1975, and 1985, the correlation between social origin, educational career, and professional career is analyzed by multivariate methods. The chances of achieving an executive position are 50% higher for individuals with a service class I background and 100% higher for those individuals with an upper class background in contrast to individuals with working class and middle class background, Therefore, the functionalist view can be regarded as incorrect. On the contrary, it holds that social origin has a strong direct effect on the social selection of the elites. Consequently, the social opening of the German educational system did not result into a social opening of the recruitment practices of the business elite. Rather, the opposite is the case: Social selection increased for the 1975 and 1985 cohorts.",Koln. Z. Soziol. Sozialpsych.
35,1193,"ECKHARD, J",2002,Division of labor in stepfamilies. The significance of the type of family and parenthood for the intra-familial division of labor,family; parenthood; stepfamiliy; division of labor,,"In comparison to other families, families featuring stepchild-relations are more inclined to practise non-traditional forms of intra-familial division of labor. A number of theses to account for the differences between families with stepchild-relations and families without stepchild-relations can be deduced from various middle-range-theories concerning intra-familial division of labor. These hypotheses are examined using the German Family Survey (Familiensurvey) 1988 data. It is shown that hypotheses which assume the type of parenthood (natural or non-natural parenthood) as determining ones participation in familial labor cannot be confirmed. It is suggested to regard the tendency towards non-traditional forms of division of labor in stepfamilies as deriving from a lack of socially mediated patterns of behavior for parents in stepfamilies.",Koln. Z. Soziol. Sozialpsych.
36,2712,"LUDTKE, H; SCHWEITZER, H",1993,TENDENCY TOWARDS CORRUPTION UNDER DIFFERENT EXPECTATION PATTERNS OF THE SITUATION - QUASI-EXPERIMENT WITH STUDENTS,,,"We defined corruption as an exchange relation embedded in a dilemma between universalistic and particularistic norms (standards) which will be decided in favour of the latter despite the threat of negative sanctions in case of its disclosure. Based on this definition we constructed a micro-model of corrupt actions in accordance with the rational-choice approach. We postulated that corrupt actions will be carried out in dependence on external situative stimuli or normative blockades. Administering 639 questionnaires to students of different subjects provided us with data on their behaviours in a fictitious situation of a manager deciding about the hiring of a trainee out of three applicants. The questionnaire systematically varied the role of the respondents (active, deciding vs. passive, assessing an already taken decision), the characteristics of the applicants and the structure of four situative expectations. The main result is: Particularistic stimuli promote, universalistic ones moderate proto-corruption. In a situation ambivalent in respect to both norms, the particularistic orientation will succeed. In an active situation (when the respondent must take a decision) the relation is weaker than in a passive (evaluative) situation, a result we explain by the higher complexity of the anticipated consequences of the decision. The results support demanding to focus research on the everyday preforms of corruption and to on the structural conditions of the transition from ''normal'' forms to those under the verdict of sanction. This seems to open an access to better controlling corruption in everyday life.",Koln. Z. Soziol. Sozialpsych.
37,4272,"MCLEOD, JD; KAISER, K",2004,Childhood emotional and behavioral problems and educational attainment,,SOCIOECONOMIC-STATUS; LIFE-COURSE; PSYCHIATRIC-DISORDERS; FOLLOW-UP; ADOLESCENT DEPRESSION; YOUNG ADULTHOOD; MENTAL-ILLNESS; CHILDREN; SCHOOL; SELECTION,"Do childhood emotional and behavioral problems diminish the probability of graduating from high school and attending college? If so, are their effects primarily attributable to the persistence of those problems over time, to continuities in social environments, or to the cumulative effects of early academic failures? We provide answers to these questions using data from the Children of the National Longitudinal Surveys of Youth data set (1986-2000). Internalizing and externalizing problems at ages 6-8 significantly and strongly diminish the probability of receiving a high school degree. Among youth who receive a high school degree, externalizing problems also diminish the probability of subsequent college enrollment. In the case of high school degree receipt, the educatioral disadvantages associated with child emotional and behavioral problems result from the association of those problems with academic failures in middle and high school. In contrast, the association of childhood behavior problems with college enrollment appears to reflect the persisting effects of early behavioral and academic predispositions. Our results add to a growing body of research that demonstrates that social selection processes contribute to socioeconomic disparities. They also suggest new directions for research concerned with socially-structured, transactional, person-environment interactions.",Am. Sociol. Rev.
38,2442,"DIEKMANN, A; ENGELHARDT, H",1995,SEX-SPECIFIC EFFECTS IN THE INTERGENERATIONAL TRANSMISSION OF DIVORCE RISKS,,PARENTAL DIVORCE; MARITAL INSTABILITY; PREMARITAL COHABITATION; CHILDRENS RESPONSE; FAMILY; CONSEQUENCES; DETERMINANTS; LIKELIHOOD; DISRUPTION; STABILITY,"The social inheritance of proneness to divorce is an important factor contributing to the dynamics of an upward trend in marriage dissolution rates during the last decades. In an empirical analysis the article investigates the intergenerational transmission of divorce risk with multivariate event-history techniques using data on the 10000 respondents of the German Family Survey. In both younger and older cohorts the transmission effect is confirmed. Surprisingly, however, there are huge sex differences in the impact of parents' divorces on their children. Sons of divorced parents have a much higher risk of divorce than girls. Explanations put forward to account for the transmission effect are critically examined. The inheritance of the risk of divorce cannot be explained by economic reasons alone or simply by a broken-family effect. For example, males from families dissolved by the death of a parent have a much lower risk of divorce than sons of divorced parents. Moreover, no difference in the risk of divorce could be detected, between males belonging to the post-war ''fatherless generation'' and males raised in two-parent families. Thus, the transmission effect cannot be explained by the decreased standard of living typically observed in all types of single-parent families. The data suggest, however, that differences in intervening variables may partially explain the transmission effect.",Z. Soziol.
39,1816,"BACON, N",1999,Union derecognition and the new human relations: A steel industry case study,,,"This paper presents a detailed case study of a non-union company that adopts a comprehensive HRM approach. Recent accounts of such workplaces identify benefits for employees inducing a perceived lack of need for union membership. This paper reveals a rather different picture in a case where some of the gains for employees proved illusory. Managerial strategy was geared towards attitudinal compliance, work intensification and the suppression of any counterbalancing trade union activity. The costs of compliance were high and management were exceptionally harsh upon individuals who could not or would not fit in. Workers resistance was more evident than in previous work suggesting they are not easily seduced by 'human relations' practices.",Work Employ. Soc.
40,1707,"BECKFORD, JA",1999,Rational Choice Theory and prison chaplaincy: the chaplain's dilemma,religion; prison; theory; rationality; brokerage,,"Critical responses to the application of Rational Choice theories to the study of religious phenomena tend to be polarized between outright denial that the theories have any relevance to religion and equally outspoken claims that the theories are the only hope for progress in the sociology of religion. This article aims to avoid both of these extreme positions by raising a question, instead, about one of Rational Choice's central propositions about religion. Tills proposition holds that levels of religious vitality vary positively with the degree to-which agencies of the state are prevented from regulating religious activity. The findings of recent research into prison chaplaincy in the UK and the USA will be used to test this claim. The main argument will be that the existence of an established church has facilitated a higher level of religious activity, especially for minority faiths, in prisons in England and Wales than is possible in American prisons. This difference in religious vitality is explained in terms of the Church of England's privileged position as a 'broker' between the state and minority faith communities. There is greater equality of opportunity for religious activity in American prisons, bur the level of die activity is necessarily lower. In neither country is there anp thing truly resembling a 'free' market for religion in prisons, but the established Church of England is able to use its quasi-monopoly powers to broker advantageous conditions for minority faith communities. This brokerage function may be advantageous to all religious organizations in the highly regulated 'economy' of prisons.",Br. J. Sociol.
41,930,"HEIDENREICH, M",2004,Employment regulations between exclusion and inclusion - An international comparison of labor market institutions,,EUROPE; UNEMPLOYMENT; CAPITALISM; GOVERNMENT; RIGIDITIES; MODEL,"While Anglo-Saxon and Scandinavian countries are characterized by inclusive employment regulations, Continental and Southern European countries have developed more exclusive employment regulations. This is the result of different institutional frameworks: Inclusion in employment depends to a considerable extent on national economic and institutional structures, for example, on the systems of industrial relationships, on social and taxation policies, on the patterns of private and family life, and on the educational system. The relative impact of these factors is verified on the basis of cross-national data for 19 OECD countries from the 1980 s and 1990 s. It can be shown that a dynamic educational policy, employment-centered taxation policies, an active family policy, and more flexible working-time arrangements can counteract the rather negative employment impact of strongly developed social Security systems and public services. The effects on the labor market participation of different age groups and sexes are very different: Above all, men profit from strong employment protection legislation and stronger wage differentiation while the labor market participation of women is facilitated by a better balance between work and family life, family services and cash benefits, and a higher education. Older employees profit front part-time work and stronger wage differentiation. While the Mediterranean and Continental European countries are shaped by industrial employment relationships, the labor market institutions of Scandinavian and Anglo-Saxon countries facilitate the expansion of personal and social services.",Z. Soziol.
42,3272,"FINKE, R; GUEST, AM; STARK, R",1996,"Mobilizing local religious markets: Religious pluralism in the Empire State, 1855 to 1865",,SACRED CANOPIES; UNITED-STATES; PARTICIPATION; MOBILIZATION; ECONOMIES,"Recent theoretical arguments contend that when the state permits a religious free marker, pluralism and competition will emerge and overall levels of religious participation will increase. We return to nineteenth-century America, when the emergence of a religious free marker was in progress, to examine whether pluralism generated higher levels of religious participation. We use data from the New Yolk State censuses of 1855 and 1865 to explore religious participation in 942 towns and cities in the state. Our results strongly, support the pluralism thesis, highlight demographic effects on religious participation, and help explain conflicting research findings on pluralism and religions participation.",Am. Sociol. Rev.
43,1498,"GOTTSCHALL, K",2001,Service sector crisis or service sector civilisation. A sociological analysis of service societies,,EMPLOYMENT,"Sociological analysis of societies based on a modern service economy has not much of a tradition. Fourastie, in the late nineteen fourties stands for the classical approach: he studied the dynamics of the expanding service sectors in western societies, and he hoped for the coming of a democratic ""service civilisation"". His ""social view"" on economic modernisation still is a viable framework for analysing the change in work patterns and life trajectories. Nevertheless, these as well as subsequent accounts of the service society, as by Berger and Offe, are not as sensitive to the gendered structure of the expanding service sector or to the remaining private care work as they ought to be. Nor do they pay much attention to the gender bias of the corresponding welfare state regulations. As regards the ""crisis"" as well as the ""civilisatory potential"" of service sector development, challenges for research and political perspectives are addressed.",Berliner J. Soz.
44,3398,"PAMPEL, FC; PETERS, HE",1995,THE EASTERLIN EFFECT,COHORT SIZE; RELATIVE ECONOMIC STATUS; FERTILITY; EASTERLIN; GENERATIONS,RELATIVE-COHORT-SIZE; UNITED-STATES FERTILITY; SCHOOL ENROLLMENT RATES; POLITICAL ALIENATION; DEMOGRAPHIC CYCLE; AMERICAN-YOUTH; AGE STRUCTURE; LABOR-FORCE; LIFE-CYCLE; HYPOTHESIS,"The Easterlin effect posits cyclical changes in demographic and social behavior as the result of fluctuations in birth rates and cohort size during the post-World War II period. Large cohort size reduces the economic opportunities of its members and reduces income relative to smaller parental generations. Low relative economic status in turn leads to lower fertility, higher rates of female labor force participation, later marriage, higher divorce and illegitimacy, and increasing homicide, suicide, and alienation. Cycles in birth rates and cohort size suggest that the small baby bust cohorts entering adulthood in the 1990s will enjoy higher relative income, more traditional family structures, and lower levels of social disorganization. Of interest to economists and sociologists, the Easterlin effect has generated a large literature in the several decades since it was first proposed. Our review of the empirical studies notes the diversity of support across behaviors, time periods, and nations. Up to 1980, changes in wages, fertility, and social disorganization closely matched cohort size, but individual-level studies found little influence of relative income within cohorts. Further, the correspondence of the trends ends in the 1980s and appears in few countries other than the United States. Our review emphasizes both the contingent nature of the Easterlin effect and the way in which conditions have changed in recent decades to reduce the salience of cohort size for social and demographic behavior.",Annu. Rev. Sociol.
45,1137,"WOODS, PA",2003,"Building on Weber to understand governance: Exploring the links between identity, democracy and 'inner distance'",agency; democracy; freedom; governance; identity; Weber,PARTICIPATION; RATIONALITY; LIBERALISM; POLICY,"The paper builds up a conceptual picture of two types of governance-network and organic. In this process it highlights the legitimacies of co-ordination (interior authority and democracy) that lie outside Weber's typology of domination and are relatively neglected in governance literature. The exploration of interior authority, through discussion of identity and substantive liberty, reflects a perspective on human agency that acknowledges the interconnection of the social and non-social and links sociological understanding of agency with political philosophy. It is suggested that this theoretical work gives some necessary content to Weber's concept of inner distance. In turn, this also has implications for our understandings of what is involved in democratizing governance.",Sociol.-J. Brit. Sociol. Assoc.
46,4524,"KURZMAN, C; OWENS, L",2002,The sociology of intellectuals,"academic; class-less; organic; professional; ""new class""",LIBERAL POLITICAL-ATTITUDES; CLASS POWER; HUNGARY; INTELLIGENTSIA; PROFESSIONALS; CONSTITUTION; MOVEMENTS; RUSSIA; POLAND,"The sociology of intellectuals has adopted three fundamentally distinct approaches to its subject. The Dreyfusards, Julien Benda, ""new class"" theorists, and Pierre Bourdieu treated intellectuals as potentially a class-in-themselves, that is, as having interests that distinguish them from other groups in society. Antonio Gramsci, Michel Foucault, and theorists of ""authenticity"" treated intellectuals as primarily class-bound, that is, representatives of their group of origin. Karl Mannheim, Edward Shils, and Randall Collins treated intellectuals as relatively class-less, that is, able to transcend their group of origin to pursue their own ideals. These approaches divided the field at its founding in the 1920s, during its mid-century peak, and in its late-century revival.",Annu. Rev. Sociol.
47,1959,"HEINTZ, B; NADAI, E",1998,Gender and context. De-institutionalization and gender differentiation,,SEGREGATION; TOKENISM; MEN; WORKPLACE; WOMEN; WORK; SEX; GAP,"Due to the increasing inclusion of women a de-institutionalization of gender relations has taken place over the last few decades. While gender differentiation has long been guaranteed institutionally, its reproduction now increasingly requires symbolical marking and ""doing gender."" This leads to a ""contextualization"" of gender differentiation, i. e. the reproduction of gender inequality becomes a more and more complex process depending on specific constellations. Using the example of a study of occupational sex segregation this paper analyses the conditions for maintaining or weakening gender differences. It reports three qualitative case studies, based on (participant) observation and in-depth interviews, in three occupational fields varying in the type and extent of the male-female ratio: computer technology, nursing, and insurance office personnel. The authors also briefly discuss the implications which the assumption of a ""contextual contingent"" conditions for gender differentiation may have on gender studies.",Z. Soziol.
48,981,"ALDERSON, P; WILLIAMS, C; FARSIDES, B",2004,Practitioners' views about equity within prenatal services,decision making; ethics; inequalities; prenatal screening,HEALTH-POLICY; GENETICS,"The British National Health Service (NHS) is based on principles of equal accesses, treatment and outcomes. This article reviews health professionals aims to provide equitable prenatal services and their views on whether women could be equal in their access to services understanding during choice-making and satisfaction about their care inequalities which compromise equity conflicting meanings of equity and the contribution of in hospital ethics seminars to ethical health services are considered. Qualitative research, combining sociological and philosophical methods, investigated the experiences of health care staff attempting to provide equitable services and their practical and ethical problems. A total of 70 staff at a teaching hospital and a district general hospital took part in semi structured interviews followed by 11 innovative in-hospital ethics seminars based on themes derived from the interviews. The 56 seminar participants usually began with clear statements of their equitable aims, but, encouraged by the health care ethicist, they went on to discuss their many concerns about obstacles which complicated the achievement of these aims. The sociological ethics seminars provided unique opportunities for multi-disciplinary discussion of these inequalities and their impact on equitable intentions in health care. Analysis of the contradictions revealed during the seminars is guided by sociological theories that seek to explain the persistence of inequalities in health, and how NHS policies appear to perpetuate and increase them despite practitoners' stated intentions to promote equality.",Sociol.-J. Brit. Sociol. Assoc.
49,588,"DELLWING, M",2010,Ritual games of relationship negotiation. Goffman's norms between the interaction order and ironist openness,Goffman; Norms; Durkheim; Pragmatism; Irony,SELF,"On the one hand, Erving Goffman's work has been perceived as an explication of the interaction order indebted to Durkheim. On the other hand however, it is known as an ironist rejection of order. Goffman made use of this ambivalence without ever attempting to resolve it. Instead of looking at Goffman as a cartographer of the order of everyday life's order, he can be seen as someone who plays with different perspectives about the everyday game with order. Thus, his Durkheimian part is not order, but ritual, which he transforms into ritual play; norms are then ritual games with relationships.",Berliner J. Soz.
50,842,"BOUDON, R",2005,Tocqueville's new political science,,,"Tocqueville's influence has been less pronounced than that of several of his contemporaries, e.g. Guizot or Auguste Comte, but he is closer to us: not only is he a great figure in the history of ideas, he provides us with tools and ideas which help us in understanding modem societies. His deep originality, of which he was fully aware, is to a large extent the consequence of his methodology. The ""new science of politics"" he developed is characterized by five features. 1) It rests upon the principle of value neutrality. It follows the objective of explaining social and political phenomena by procedures used by all sciences. 2) It gives central strategic value to comparative analysis. 3) It pays central attention to the discovery of conditional laws, i.e. ""if A, then B"", and interprets these laws as being driven by understandable motivations and reasons on the part of individual social actors. 4) It identifies typical social mechanisms and processes. 5) It defines implicitly the notion of ""good theory"" by the criteria accepted by modem epistemologists. The accuracy and validity of Tocqueville's methodology is responsible for the force of his analyses in the second volume of Democracy in America and in The Old Regime and the Revolution, the two works more particularly taken into consideration here. Thanks to his methodology, he was able to identify a number of significant and important trends characterizing modem societies and the French society in particular. Hence the impression of eternal youth the reader easily experiences when reading his more than one and a half century old work.",Berliner J. Soz.
51,1152,"KELLER, R",2003,"Distant compassion. On catastrophic events, the mass media and cultural transformtion",,REFLEXIVE MODERNIZATION,"Taking the Vajont catastrophe in Italy in the 1960s as a starting point, the article addresses the modalities of risk experience in modern societies. Catastrophic events become the subject of symbolic, discursive conflicts. Two narratives compete for the legitimate interpretation of such disasters in modern public risk communication: the first one is a typical narrative of control, the second focuses on danger. The issue-attention structures and cycles of the mass media are in favour of dramatizing accounts. As the social experience of catastrophes is arranged by mass media, it is apparently this distant connection with disasters that constitutes temporary, rather fluid communities of danger. Within this process catastrophic events crystallize into social dramas, in which corresponding mass media shaped communities of experience negotiate their identity and basics of agency in space and time. Mass media coverage of catastrophic events oscillates between too much and too little attention; this is the origin of what could be called the paradox of risk society: On the one hand, the more frequent catastrophic events will occur, the less is their news value; they become normalized rather than scandalized. On the other hand, the less frequent they happen, the more intense their mass media coverage and the more likely are their public effects.",Berliner J. Soz.
52,2583,"WAGNER, G",1994,"AT THE END OF SYSTEMS-THEORY IN SOCIOLOGY - LUHMANN,NIKLAS AND HEGELS DIALECTIC",,SELF-REFERENCE,"By advocating an enlightened method of theorizing committed to thinking in terms of a system of differences, Niklas Luhmann has contributed to the development of sociology in a manner that cannot be praised enough. Nonetheless, he does not succeed in giving an account of his own position that satisfies the very logical preconditions that he himself has formulated for it. Instead, his systems-theory paradigm of sociology is based on metaphysical premises characteristic of the identity-logical thought of ''Old Europe''. In fact, the only way to make Luhmann's approach truly comprehensible is to reconstruct it as a new Version of Hegel's dialectic.",Z. Soziol.
53,4434,"STOCKARD, J; O'BRIEN, RM",2002,Cohort effects on suicide rates: International variations,,DURKHEIM THEORY; HOMICIDE RATES; AGE STRUCTURE; SIZE; DIVORCE; FAMILY; INTEGRATION; CONTEXT; FINLAND; NORWAY,"Recently, the long observed pattern of a monotonic increase in suicide with age has shifted, often dramatically, because more recent birth cohorts have exhibited much higher suicide rates at younger ages than earlier cohorts have. These changes, however did not occur in all countries. We examine cohort variations in suicide rates in 14 modern, western societies using an extension of the age-period-cohort characteristic model that incorporates hierarchical linear modeling. Results support a general Durkheimian perspective. Birth cohorts experiencing relatively less social integration and regulation, as measured by higher rates of nonmarital births and larger relative cohort size, have higher suicide rates than other cohorts. Societies that provide alternative sources of social integration and regulation, as through collectivist institutions or through greater support for families and children, moderate this tendency. On the other hand, when societies experience rapid social change, the relationship between decreased social integration and regulation and increased suicide rates is stronger especially for males. These results have implications for stemming the increased suicide rates for youth observed in many contemporary societies.",Am. Sociol. Rev.
54,442,"BIENFAIT, A",2006,Signs and miracles. The function of beatifications and canonizations for the catholic church,catholic church; sociology of religion; charisma; Max Weber; canonization,,"During the pontificate of Pope John Paul II. (1978-2005), canonizations and beatifications have reached a height so far unexampled: From 1978 until 2004, John Paul II. has canonized 482 persons, these are 180 more canonizations as all his predecessors in office since 1592. The aim of this contribution is to explain this extraordinary increase of saints and to analyze the function of canonizations and beatifications for the catholic church. Referring to Max Webers concept of charisma, it is shown that canonizations allow to extend the representation of the personal charisma in the church as an institution. In this way, the institutionalized charisma of office (Amtscharisma) that is always threatened by objectification and depersonalization can be connected with the personal charisma of the saints. Thus, canonization allows an additional legitimation of the institutionalized charisma by its repersonalization. Beyond this, the combination of institutionalized charisma and personal charisma shows ""special form of transformation of the genuine personal charisma, so far unconsidered, that could be ""gainful enhancement of Max Webers; theory of charisma.",Koln. Z. Soziol. Sozialpsych.
55,2210,"ANHEIER, H; OHLEMACHER, T",1996,"Activists, networks and movement success: ''Single members'' of the National Socialist Party of Germany (NSDAP) 1925-1930",,,"The focus of this article is to examine the role of activists in the process of movement development and mobilization. Specifically, we look at the impact and characteristics of activists in the National Socialist Party of Germany between 1925 and 1930, i.e. during the party's initial reorganization period. The analysis is based on data collected from the holdings of the Berlin Document Center, and includes information on a group of some 650 ''single members'' who joined the Nazi party in towns with no party organizations in place. Results point to the importance of these activists and their networks for the local establishment of the party during reorganization: the involvement of this relatively small group of single members contributed significantly to the formation of local party chapters between 1925 and 1928. Second, logistic regression analysis shows that members with high deg rees of embeddedness in organizational and personal networks among the nationalist milieu are those with the highest probability to establish local party chapters.",Koln. Z. Soziol. Sozialpsych.
56,801,"MCCRONE, D",2005,Cultural capital in an understated nation: the case of Scotland,Scotland; cultural capital; national identity,,"The concept of cultural capital is rarely used to explore specifically national cultural formations. This paper explores how Scotland, with its distinctive national identity, yet its constitutionally subordinate position within the UK offers an interesting case to explore the relationship between nationality and cultural capital. It examines how the concept can be used to unpick collective national identities, and how devolution might have changed its relationship to matters of identity and culture. It is especially concerned to show how Scotland's position within the UK leads to a form of cultural formation caught between two contradictory assumptions: that Scotland is 'culture-lite'- insufficiently different from the rest of the UK in terms of cultural markers such as language religion etc to be 'national'; and on the other hand that Scotland is 'culture-heavy' in so far as its cultural iconography is so hegemonic and distorted that it generates deformed narratives and discourses.",Br. J. Sociol.
57,4724,"SHANAHAN, MJ",2000,Pathways to adulthood in changing societies: Variability and mechanisms in life course perspective,life course; adulthood; agency; social structure; demography; social stratification,HIGH-SCHOOL EMPLOYMENT; MENS LIVES; UNITED-STATES; EDUCATIONAL-ATTAINMENT; ADOLESCENT COMPETENCE; SOCIOECONOMIC-STATUS; CAREER-DEVELOPMENT; FAMILY-STRUCTURE; WORK EXPERIENCE; YOUNG ADULTHOOD,"The transition to adulthood has become a thriving area of research in life course studies. This review is organized around two of the held's emerging themes. The first theme is the increasing variability in pathways to adult roles through historical time. The second theme is a heightened sensitivity to transition behaviors as developmental processes. Accounts of such processes typically examine the active efforts of young people to shape their biographies or the socially structured opportunities and limitations that define pathways into adulthood. By joining these concepts, I suggest new lines of inquiry that focus on the interplay between agency and social structures in the shaping of lives.",Annu. Rev. Sociol.
58,4391,"EWICK, P; SILBEY, S",2003,Narrating social structure: Stories of resistance to legal authority,,SOCIOLOGY; IDENTITY; AGENCY; STRATEGIES; VOICE; WORK,"Using stories of citizens' resistance to legalized authority, the authors propose that the act of storytelling extends temporally and socially what might otherwise be an individual, discrete, and ephemeral transaction. Adopting a concept of power as a contingent outcome in a social transaction, they emphasize that not only dominant, institutionalized power but also resistance to institutionalized authority draws from a common pool of sociocultural resources, including symbolic, linguistic, organizational, and material phenomena. Although such acts of resistance may not cumulate to produce institutional change, they may nonetheless have consequences beyond the specific social transaction: the authors propose that a chief means for extending the social consequences of resistance is to transform an act of resistance into a story about resistance. Based upon an appreciation of the structural conditions of power and authority, stories of resistance can become instructions about both the sources and the limitations of power. Because such stories are told in interaction with other stories, they become part of a stream of sociocultural knowledge about how social structures work to distribute power and disadvantage.",Am. J. Sociol.
59,1685,"LITZ, SA",2000,The fortified society: Social exclusion as a result of privatization and fortification of space,,GATED COMMUNITIES; GEOGRAPHY; ENCLAVE; CITY,"Some of the industrialized modern countries, especially the United States of America, have been confronted with the privatization and fortification of space for several decades. Within so called ""gated communities"" traditionally public, i.e. collectively used space is privatized. Access to the public ist restricted by walls, fences and gated entries which are monitored by modern security systems and controlled by private security services. The main objective of these developments is the social exclusion of undesirable persons and social groups in order to guarantee the personal and cultural integrity of the inhabitants. Meanwhile, more than 20,000 gated communities are spread all over the urban regions in the United States of America and more than eight million citizens have decided to live behind their walls. However, the radical spatial cut off has severe social, cultural, political ans psychological consequences. This essay discusses the causes, types and forms of these ""citadels of security"" as well as the consequences of their proliferation.",Berliner J. Soz.
60,928,"TURAM, B",2004,The politics of engagement between Islam and the secular state: ambivalences of 'civil society',civil society; secular state; Islamic movement; Islamic nationalism; transition; democratization,,"The paper reveals contemporary transformations of the interaction between Islam and secular states from opposition to engagement. In-depth ethnographic evidence challenges the predominant juxtaposition of Islam against the secular state. Following micro-sites of interaction between the Gulen movement and the state from Turkey to Kazakhstan, my fieldwork revealed a continuum of engagements between them. The paper analyses the engagements ranging from contestation and negotiation to co-operation. The case illustrates the extent to which scholarly interest in opposition and clash has left a wide-ranging variety of state-Islam interaction understudied with regard to civil society. It also reveals the conditions under which effective Islamic horizontal organizations have provided the platforms of vertical engagements with the secular states. The major argument of the paper is that both civil and uncivil outcomes in the Muslim world are primarily shaped by the nature of state-Islam interaction. The evidence suggests that the key to understanding the relationship between Islam and civil society is the state.",Br. J. Sociol.
61,3319,"VASI, IB; STRANG, D",2009,Civil Liberty in America: The Diffusion of Municipal Bill of Rights Resolutions after the Passage of the USA PATRIOT Act,,NETWORKS; COMMUNITY; DEMOCRACY; PROTEST,"In the years since the 9/11 terrorist attacks, some 400 local governments passed ""Bill of Rights"" resolutions in opposition to the USA PATRIOT Act. Event history analyses show that cities with progressive profiles were markedly quicker to pass such resolutions. These effects are strongest in the early phase of the Bill of Rights campaign, a period for which there is also robust evidence of contagious influence among nearby cities. The authors argue that the campaign's success lies in the miscibility of multiple movements-the ability of groups with different beliefs, agendas, and traditions to combine around a common goal. The case is used to distinguish between strong and weak forms of miscibility and to develop insight into strategic, organizational, and political conditions that promote the construction of movement-spanning coalitions.",Am. J. Sociol.
62,4655,"VAN DEN BULTE, C; LILIEN, GL",2001,Medical innovation revisited: Social contagion versus marketing effort,,DIFFUSION; MODELS; HETEROGENEITY; ADOPTION; RISK; TECHNOLOGY; PREFERENCE; DYNAMICS; BEHAVIOR,"This article shows that Medical Innovation-the landmark study by Coleman, Katz, and Menzel-and several subsequent studies analyzing the diffusion of the drug tetracycline have confounded social contagion with marketing effects. The article describes the medical community's understanding of tetracycline and how the drug was marketed. This situational analysis finds no reasons to expect social contagion; instead, aggressive marketing efforts may have played an important role. The Medical Innovation data set is reanalyzed and supplemented with newly collected advertising data. When marketing efforts are controlled for, contagion effects disappear. The article underscores the importance of controlling for potential confounds when studying the role of social contagion in innovation diffusion.",Am. J. Sociol.
63,1507,"CASTELLS, M",2001,Materials for an exploratory theory of the network society,,,"This article aims at proposing some elements for a grounded theory of the network society. The network society is the social structure characteristic of the Information Age, as tentatively identified by empirical, cross-cultural investigation. It permeates most societies in the world, in various cultural and institutional manifestations, as the industrial society characterized the social structure of both capitalism and statism for most of the twentieth century. Social structures are organized around relationships of production, consumption, power, and experience, Whose spatial-temporal configurations constitute cultures. They are enacted, reproduced, and ultimately transformed by social actors, rooted in the social structure, yet freely engaging in conflictive social practices, With Unpredictable outcomes. A fundamental feature of social structure in the Information Age is its reliance on networks as the key feature of social morphology. While networks are old forms of social organization, they are no v empowered by new information/communication technologies, so that they become able to cope at the same time with flexible decentralization, and with focused decision-making. The article examines the specific interaction between network morphology and relationships of production/consumption, power, experience, and culture, in the historical making of the emerging social structure at the turn of the millenium.",Berliner J. Soz.
