,Authors,Year of Publication,Title,Author Keywords,KeyWords Plus,Abstracts,ISO-4 Journal Abbreviation
795,"WRIGHT, D",2005,Mediating production and consumption: cultural capital and 'cultural workers',cultural intermediaries; cultural capital; bookshops; literary field; retail work,INTERMEDIARIES; INTELLECTUALS,"This paper examines recent debates about the role of what Bourdieu termed cultural intermediaries in the formation and reproduction of the relations of cultural capital. Workers in the cultural or creative industries were given a central place in Bourdieu's schema in the creation of hierarchies of value in the production and consumption of symbolic goods. Subsequent writers about the apparent emergence of a creative economy (Lash and Urry 1994; Featherstone 1991) have given workers involved in the production and distribution of cultural goods a pivotal place in the development of late or post-modernity. More recent work (Negus 2002; Nixon and du Gay 2002) has criticized the validity and coherence of the term as it has come to be understood and called for more rigour in its definition and use. This paper adds to this debate by considering the book trade as a space in which the gap between production and consumption of cultural goods is mediated. It suggests that cultural intermediaries, as cultural workers, are engaged in the reproduction of the cultural aspects of social class by 'shoring up' their insecure position in the relations of cultural capital, rather than simply being the taste leaders of a reflexive modernity.",Br. J. Sociol.
799,"SAVAGE, M; WARDE, A; DEVINE, F",2005,"Capitals, assets, and resources: some critical issues",class; capital; assets; resources,SOUNDER BASIS,"This paper explores the potential of Bourdieu's approach to capital as a way of understanding class dynamics in contemporary capitalism. Recent rethinking of class analysis has sought to move beyond what Rosemary Crompton (1998) calls the 'employment aggregate approach', one which involves categorizing people into class groups according to whether they have certain attributes (e.g. occupations). Instead, recent contributions by Pierre Bourdieu, Erik Wright, Aage Sorensen, and Charles Tilly have concentrated on understanding the mechanisms that produce class inequalities. Concepts such as assets, capitals and resources (CARs) are often used to explain how class inequalities are produced, but there remain ambiguities and differences in how such terms are understood. This paper identifies problems faced both by game theoretical Marxism and by the rational choice approach of Goldthorpe in developing an adequate approach to CARs. It then turns to critically consider how elements of Bourdieu's approach, where his concept of capital is related to those of habitus and field, might overcome these weaknesses. Our rendering of his arguments leads us to conclude that our understanding of CARs might be enriched by considering how capital is distinctive not in terms of distinct relations of exploitation, but through its potential to accumulate and to be converted to other resources. This focus, we suggest, sidesteps otherwise intractable problems in CAR based approaches.",Br. J. Sociol.
803,"BAIN, A",2005,Constructing an artistic identity,Canada; occupational identity; Toronto; visual artists,DOMESTIC WORKERS; GEOGRAPHIES; TORONTO,"This article investigates occupational identity construction among contemporary Canadian professional visual artists. Through in-depth semi-structured interviews I draw on the perceptions and subjective experiences of 80 Toronto visual artists to explore how individuals consciously articulate and act upon an occupational identity that they have carefully and deliberately chosen. I demonstrate how the informal nature of artistic occupational definitional parameters can render the title 'professional artist' an empty signifier. Given the limited means of clearly distinguishing between professional and amateur, and the lack of recognition attributed to artistic labour as 'real' work, I argue that professional status comes largely from drawing on a repertoire of shared myths and stereotypes to help create an artistic identity and project it to others.",Work Employ. Soc.
804,"VINCENT, S",2005,Really dealing: a critical perspective on inter-organizational exchange networks,critical realism; institutionalism; networks; resource dependency; transaction costs,EMBEDDEDNESS; PARTNERSHIP; MANAGEMENT; EMPLOYMENT; FIRM,Concepts such as ' relational contracting the flexible firm and flexible specialization ' are all associated with intense academic efford directed to understanding both conctractual inter-organizational relationships and the networks that sustain them. This article adopts a Realist positon and draws on case study evidence in an attempt to contribute to the literature on this subjects it argues that considering inter-organization exchange networks in terms of three inter-related causal forces provides a useful indication of the generative mechanisms that condition the outcomes observed. The casual forces considered are first the type of product exchanged: second the culture of institutional practices within the context of the exchange and finally the level of resource dependency apparent amongst the organizations involed.,Work Employ. Soc.
805,"BOLTON, SC",2005,'Making up' managers: the case of NHS nurses,modern matron; new public sector management; nurses; public sector,SERVICE; LABOR; WORK,"The incorporation of health professionals into the management of the British National Health Service (NHS) is a distinctive strategy ultimately aimed at involving senior nurses and doctors through normative devices. Rather than attempting to directly manage professionals, which has proved to be enduringly problematic it is deemed more efffective to ""recreate"" professionals as managers. Data collected from nurses who are middle managers, i.e. ward and unit managers, indicate a mixed response to such endeavours. Drawing on survey and interview data and using Goffmans concepts of role analysis as an analytical framework , it can be seen how senior nurses enthusiastically embrace many aspects of the management role but remain suspicious of, and distance themselves from a management philosophy that emphasizes entrepreneurial activity.",Work Employ. Soc.
807,"HEERY, E",2005,Sources of change in trade unions,equal pay; part-time work; trade unions; union organizing,REVITALIZATION,"It is argued widely that if trade unions are to experience renewal then they must invest in organizing the unorganized and align their strategies of interest representation with the needs of women and those in atypical employment. This article examines the groups and factors internal and external to trade unions that encourage representatives to engage in both types of activity. Drawing on a large survey of union paid officersz in Britian, it identifies those internal and external pressures that encourage change and uses these data to comment on current theories of change in trade unions.",Work Employ. Soc.
810,"BERGER, R; SCHMITT, K",2005,"Trust in online auctions and the role of reputation, information, trusteeship and price level",trust; online auctions; reputation; information; trusteeship; price level; common-value good; rational choice theory,BEHAVIOR; ECONOMICS; INTERNET,"In online auctions bidders and sellers are in a position to act opportunistically by exploiting asymmetric information. In this article known solutions from rational choice theory for this problem of trust, namely reputation, information and trusteeship are presented, and tested empirically. In addition price level effects are taken into account and estimations are controlled for predictions from auction theory. The empirical focus is put on the exact observation of auctions of three common-value goods, which results in data about 717 auctions on eBay Germany. In accordance with auction theory reputation effects are only found for the price, but not for the success of an auction. Also the donation of information only partially shows the expected effects. Trusteeship generates a crowding-out effect, so that it even leads into less trust. Astonishingly no effect of the price level of the goods can be found.",Koln. Z. Soziol. Sozialpsych.
811,"LEHMANN, W",2005,'I'm still scrubbing the floors': experiencing youth apprenticeships in Canada and Germany,apprenticeship; employability skills; labour markets; new vocationalism; school-work transitions; social inequality; vocational education; youth,EMPLOYABILITY SKILLS; UNITED-STATES; DUAL SYSTEM; TRANSITION; SCHOOL; VOCATIONALISM; WORK,"Based on interviews with the youth in Canada participating in a high school based apprenticeship programme, this article investigates the extent to which such programmes affect stated policy goals of facilitating school-work transitions and developing workplace skills. Although embedded in very different education and labour market structures. Germany's dual system is often discussed as a successful model for youth apprenticeship programmes. A comparison between Canadian and German youth apprentices therefore provides a rare critical look at how these differences shape individual experiences in apprenticeships, but also how they affect the accomplishment of policy goals. Findings show that the study participants themselves viewed their apprenticeships as positive and meaningful experiences. Yet the Canadian apprentices had only a cursory knowledge of apprenticeship regulations and career paths, and the German apprentices were restricted in their choices by the early streaming processes in Germany's education system. Skill development in Canada was limited by a focus on workplace-readiness skills and a lack of integration of what participants did at work and what they learned at school. Rather than gaining an understanding of their rights and responsibilities in the workplace, they were learning to accept their underprivileged place in it.",Work Employ. Soc.
812,"VOAS, D; CROCKETT, A",2005,Religion in Britain: Neither believing nor belonging,belief; cohort effect; intergenerational transmission; religion; secularization,SECULARIZATION,"'Believing without belonging' has become the catchphrase of much European work on religion in the past decade. The thesis that religious belief is fairly robust even if churchgoing is declining is examined using data from the British Household Panel Survey and the British Social Attitudes surveys. The evidence suggests that belief has in fact eroded in Britain at the same rate as two key aspects of belonging: religious affiliation and attendance. Levels of belief are lower than those of nominal belonging. The roles of period, cohort and age effects on religious change are considered; the conclusion is that decline is generational. In relation to the rates at which religion is transmitted from parents to children, the results suggest that only about half of parental religiosity is successfully transmitted, while absence of religion is almost always passed on. Transmission is just as weak for believing as for belonging.",Sociol.-J. Brit. Sociol. Assoc.
813,"BLOOR, M",2005,Population estimation without censuses or surveys: A discussion of mark-recapture methods illustrated by results from three studies,homelessness; injecting drug use; mark-recapture; population estimation; prevalence estimation; problem drinking,CAPTURE-RECAPTURE; PREVALENCE,"Contact-recontact (aka 'mark-recapture') methods offer sociologists a potentially economical and effective means of estimating the size of a range of different populations, but also face a number of difficulties - ethical identification of matches, sample independence, population movement, population definition, and sample heterogeneity Drawing on three recent studies for illustration (the prevalence of injecting drug use across Wales, the local prevalence of problem drinking, and the prevalence of 'rooflessness' in Scotland), it is argued that the first three of these problems can be readily addressed, while the last two are only open to partial resolution. Population definition may be partly addressed by careful selection of datasets or by combining contact-recontact methods with a screening instrument, Sample heterogeneity may be partly addressed by separate modelling of different constituent sub-populations. However, some of these 'solutions' may themselves generate further problems: the value of such methods is great in potential but uncertain in practice.",Sociol.-J. Brit. Sociol. Assoc.
814,"ANDERSON, M; BECHHOFER, F; MCCRONE, D; JAMIESON, L; LI, YJ; STEWART, R",2005,Timespans and plans among young adults,ambition; career; control; forethought; planning; security; time; young adults,GERMANY; YOUTH,"This article uses data from a survey of young adults in Kirkcaldy, Fife, together with associated qualitative interviews, to throw empirical light on their sense of control over their lives and their perceived willingness and ability to plan their lives. Its principal conclusion, contrary to the suggestions of much previous literature, is that a majority of young adults of both genders do, by their early twenties at least, feel in control of their lives and able to exercise forethought over quite long periods of time with respect to many aspects of their futures. Far from seeing the future as simply 'an extended present', they see active opportunities for choice and for formulating their own lives in the years ahead. Only a minority, predominantly those who feel themselves in particularly insecure circumstances, live primarily for the present or think ahead only or principally for the very short term.",Sociol.-J. Brit. Sociol. Assoc.
816,"YIP, AKT",2005,Queering religious texts: An exploration of British non-heterosexual Christians' and Muslims' strategy of constructing sexuality-affirming hermeneutics,Christianity; homosexuality; Islam religious texts; sexuality,LESBIAN CHRISTIANS; GAY,"Religious authority figures often use religious texts as the primary basis for censuring homosexuality In recent years, however, non-heterosexual Christians and Muslims have begun to contest the discursively produced boundary of sexual morality, Drawing upon two research projects on non-heterosexual Christians and Muslims, this article explores the three approaches embedded in this strategy. While acknowledging that homosexuality is indeed portrayed negatively in some parts of religious texts, the participants critique traditional hermeneutics by highlighting its inaccuracy and socio-cultural specificity, and arguing for a contextualized and culturally relevant interpretation. They also critique the credibility of institutional interpretive authority by highlighting its inadequacy and ideology, and relocating authentic interpretive authority to personal experience. Finally they recast religious texts to construct resources for their spiritual nourishment. This strategy generally reflects the contemporary western religious landscape that prioritizes the authority of the self over that of religious institution.",Sociol.-J. Brit. Sociol. Assoc.
818,"JAGGER, E",2005,"Is thirty the new sixty? Dating, age and gender in a postmodern, consumer society",age; dating advertisements; gender; self-identity,ADVERTISEMENTS; SELF; ADS; COURTSHIP; SEX,"Based on a content analysis of 1094 advertisements, the article extends the author's previous research on dating by examining how age and gender intersect to influence the age at which people advertise, their choice of partner and how they manage aspects of their age identity. Locating analyses in the context of a postmodern, consumer,culture, it shows that young men and older women are most likely to advertise. It reveals that the maintenance of traditional age differentials varies according to age group. It argues that intimations of a reversal in tradition are discernible in that some older women now seek younger men. It concludes that in a culture that gives primacy to youth, assembling an age identity is problematic, not only for women but also for the chronologically young.",Sociol.-J. Brit. Sociol. Assoc.
822,"BUETOW, S",2005,Distributed decisions: The example of child access to primary health care,accessibility; decision-making; distributed; framework; proto-decisions; social network,MEDICAL-CARE; SERVICES; PEOPLE; HOUSEHOLD; INSURANCE; PATTERNS; ILLNESS; MOTHERS; CHOICE,"Confronted with uncertainty, who within social networks makes decisions and how? This article suggests a framework for answering these questions. It suggests that decision-making is distributed overtime within and among network members. These 'distributed decisions' originate in, and develop from, initial decisions, termed proto-decisions'. The process of development of distributed decisions is not merely a social activity. It involves the development overtime of mental events by one or more persons through interaction. This framework is illustrated through specific reference to the example of who decides about child access to primary health care, and how. At the same time, it elaborates existing models of health service use. It questions the focus of the Social Organisation Strategy framework on one agent deciding about service utilization (albeit within limits set by the structure and content of social network ties) and on social relationships as the dominant influence on decision-making in social life.",Sociol.-J. Brit. Sociol. Assoc.
850,"SZYDLIK, M; SCHUPP, J",2004,"Who inherits more? Inheritances, social structure, and old age provision",social structure; inheritance; old age provision; social inequality; wealth; intergenerational research; SOEP,WEALTH INEQUALITY; UNCERTAIN LIFETIME; FAMILY; SOLIDARITY; MARKET,"How do inheritances affect social structure, wealth formation, and provision for old age? Who benefits the most from inheritances? We analyse these questions based on the 2001 wave of the Socio-Economic Panel, which gives information on the deceased, and on the type, time, chance, and amount of the inheritance. Our findings confirm the theoretical hypotheses in general. Inheritance research is intergenerational research: most inheritances come from parents and benefit the recipients in the second half of their lives. However, the chances of receiving an inheritance and amounts inherited are distributed very unevenly. West Germans inherit significantly more frequently and larger amounts than East Germans due to the continuing effects of conditions in the former GDR. Foreigners have particularly low chances of receiving an inheritance. Thus, provision for old age through inheritance is limited mainly to specific groups of people. The most advantaged groups are the highly educated classes, which already receive higher (retirement) income.",Koln. Z. Soziol. Sozialpsych.
851,"LIEBESKIND, U",2004,Gendered labour market segregation and income - A look at the value of 'female' work,labour market segregation; gender gap in earnings; human capital; work condition; income inequality; cultural devaluation; multilevel-analysis; female work,SEX SEGREGATION; OCCUPATIONAL SEGREGATION; WOMENS WORK; WAGE GAP; EARNINGS; DEVALUATION; INEQUALITY; DIFFERENTIALS; GERMANY; JOBS,"What mechanisms link horizontal labour market segregation and the gender gap in wages? One explanation is based on the cultural devaluation of typically 'female' skills and work contents which are held responsible for lower earnings in these occupations. In the present study the idea of devaluation of 'female' work is contrasted with other possible explanations such as occupational differences in specialized human capital requirements or unpleasant work conditions. Based on a large sample of employed persons in Germany (IAB-Beschaeftigtenstichprobe 1975-1995) and on a survey on work conditions (BIBB/IAB-Erhebung 1991/92), the influence of 'female' work contents and other occupational variables on individual earnings is modeled for East and West Germany separately. The results of multilevel analyses accounting for the embeddedness of individuals in occupations and industries show that some 'female' work contents - typing, cleaning and selling - decrease income, and thus are culturally devalued. In contrast, occupational differences in specialized human capital requirements and work conditions do seemingly not affect individual wages. In East Germany the results in regard of devaluation are less pronounced. In both parts of the country there is an unabatedly strong effect of individual sex on earnings which cannot be explained by the introduced occupational characteristics.",Koln. Z. Soziol. Sozialpsych.
853,"KOLLISCH, T; OBERWITTLER, D",2004,How honestly do male adolescents report their definquent behaviour? Results of an external validation of self-reported delinquency,validation; survey research; deviant behaviour; youth; adolescence; delinquency; socio-economic status; social desirability; self-reports; class room interview,RESPONDENT BEHAVIOR; RATIONAL-CHOICE; POLICE; INTERVIEWS; VALIDITY; ALCOHOL; SCALE; PAPER; RACE,"Survey-based studies on the prevalence and causes of deviant behaviour very much depend on the honesty of respondents. However, the validity of self-reports is rarely investigated. We report on a external validation of self-reported delinquency of male juveniles based on two survey samples-face-to-face interviews in households (N=309), and paper and pencil interviews in school (N=337)-which have been done in 1999 and 2000 in Freiburg and are used for record checks of self-reported police contacts both on the individual and aggregate level. Individual-level record checks reveal that a majority of respondents has honestly reported contacts with the police, while there are a considerable number of both 'false negative' and 'false positive' answers which come predominately from respondents with low educational and social status and of migration background. As these groups show high non-response rates as well, the correlation between delinquency and socio-economic status is likely to be underestimated. The school survey, on the other hand, yields higher and more realistic prevalence rates. However, comparisons between the two survey modes hint at differential effects of social desirability which question the validity of self-reports by respondents with high educational status. Survey results on self-reported delinquency should generally be interpreted with great caution, and more research on the mode effects of class room interviews are deemed necessary.",Koln. Z. Soziol. Sozialpsych.
855,"CONNOLLY, P; HEALY, J",2004,Symbolic violence and the neighbourhood: the educational aspirations of 7-8 year old working-class girls,symbolic violence; habitus; figuration; gender; education; social class,SCHOOL,"This article focuses on the experiences of 7-8 year old working-class girls in Belfast, Northern Ireland and their attitudes towards education. It shows how their emerging identities tend to emphasize relationships, marriage and motherhood at the expense of a concern with education and future careers. The article suggests that one important factor that can help explain this is the influence of the local neighbourhood. In drawing upon Bourdieu's concepts of symbolic violence and habitus and Elias' notion of figuration, the article shows how the local neighbourhood represents the parameters of the girls' social worlds. It provides the context within which the girls tend to focus on social relations within their community and particularly on family relationships, marriage and children. It also provides the context within which the girls tend to develop strong interdependent relationships with their mothers that also tend to encourage and reinforce the girls' particular gendered identities. The article concludes by arguing that there is a need for more research on working-class girls and education to look beyond the school to incorporate, more fully, an understanding of the influence of the family and local neighbourhood on their attitudes towards education and their future career aspirations.",Br. J. Sociol.
856,"GIULIANOTTI, R; ROBERTSON, R",2004,The globalization of football: a study in the glocalization of the 'serious life',globalization; football; glocalization; transnational corporations; democracy,STATE,"Sport, in particular football, constitutes one of the most dynamic, sociologically illuminating domains of globalization. This paper examines the globalization of football with particular reference to Robertson's theorizations of global processes. We examine football's cultural globalization through the concept of 'glocalization', which highlights the interdependence of local and global processes within the game's identities and institutions. We address economic globalization in football by considering the world's leading clubs as 'glocal' transnational corporations. We assess the political globalization of football with reference to the possible enhancement of democracy within the game's international governance. We conclude by affirming the utility of sport in advancing our empirical and theoretical understanding of globalization processes.",Br. J. Sociol.
857,"REAY, D",2004,"'Mostly roughs and toughs': Social class, race and representation in inner city schooling",demonization; inner city schooling; race; representations; segregation; social class,DISCOURSES; EDUCATION,"Drawing, on an ESRC funded project of children's transitions to secondary schools in two London boroughs, this article works with spatial metaphors (Lefebvre, 1991; Shields, 1991) in order to interrogate dominant representations of inner city schools, but also to present the children's own views and experiences of inner city schooling. It examines the processes through which certain secondary schools and certain groups of children come to be demonized in local and wider social imaginaries, exploring both the impact of damaging discourses of demonization and the connections between social and psychic realities in the increasing segregation and polarization of inner London secondary schools, Race and racism, as well as social class and gender, enter powerfully into representations of 'good' and 'bad' schools and the article examines the consequences of such representations for both middle- and working-class children and their families. The article concludes with a discussion of the wider issues of social justice raised by growing processes of demonization and polarization.",Sociol.-J. Brit. Sociol. Assoc.
858,"LEE, RM",2004,"Recording technologies and the interview in sociology, 1920-2000",history; interviews; recording; research methods,ANALYTICS; METHODOLOGY,"Little is known about the changing techniques and technologies for the recording of unstructured interviews. This article traces the evolution of devices for recording what is said in unstructured interviews, and looks at the impact of technological change on the interview process.",Sociol.-J. Brit. Sociol. Assoc.
859,"OFFER, J",2004,"Dead theorists and older people: Spencer, idealist social thought and divergent prescriptions for care",B. and S.Webb; care of older people; H and B. Bosanquet; H. Spencer; idealism,SOCIOLOGY; WELFARE,"The years between 1880 and 19 10 saw a great deal of discussion of social policy issues, including the circumstances of elderly people. Whilst considerable attention has been paid to proposals for old-age pensions, little has been said on ideas of care and the social theory which nourished them. This article discusses the views on care of Herbert Spencer, and those expressed in the majority and minority reports of the Royal Commission on the Poor Laws of 1909, conventionally described as representing the views of the Bosanquets and the Webbs respectively. Spencer's concern with 'filial obligation' is examined, and the differing emphases on institutional care and compulsion between the Bosanquets and the Webbs are discussed. The theoretical and conceptual roots of these,positions are analysed, drawing on recent work which suggests that whereas Spencer's thought is non-idealist, that of the others is fundamentally idealist, with agreement over social ends, but not the means to their realization, The article clarifies key divergences in social and political principles in thinking about care for older people, with relevance to present-day circumstances.",Sociol.-J. Brit. Sociol. Assoc.
860,"HOLDSWORTH, C",2004,"Family support during the transition out of the parental home in Britain, Spain and Norway",Europe; family support; leaving home; welfare regimes,WESTERN-EUROPE; AMBIVALENCE; TIES,"This article explores how family support is negotiated for young people either living at home or in the process of leaving home in three European countries: Britain, Spain and Norway. Using qualitative data collected from parents and adult children, I examine what kinds of support are provided, how different strategies of giving and receiving support are adopted, and how young people and parents view the role of the state. Family support emerges as a key factor in facilitating leaving home transitions in all three countries, though the strategies for giving support vary. In particular, greater emphasis is placed on young people learning about responsibility in Britain and Norway while Spanish families identify more closely with maintaining young people's material well-being.",Sociol.-J. Brit. Sociol. Assoc.
862,"CATTELL, V",2004,Having a laugh and mucking in together: Using social capital to explore dynamics between structure and agency in the context of declining and regenerated neighbourhoods,agency; integration; neighbourhoods; regeneration; social capital; social exclusion; social networks; structuration,INCOME INEQUALITY; HEALTH; SOCIETY,"This article explores the potential of social capital for understanding social processes involved in neighbourhood decline or regeneration, in social exclusion and inclusion, and for illuminating relationships between structure and agency. Theoretical approaches in the work of Putnam, Jacobs, and Coleman are compared and qualitative neighbourhood case studies used to identify contextual influences on social capital's sources and forms, and on the strong or weak ties involved. The neighbourhood's potential as a source of more inclusive and integrative social networks and wider solidarity is addressed. Influences on key sources of social capital - stability, integration, solidarity and tolerance - embrace issues of both structure and agency; relationships can be recursive. Neighbourhood variations in reciprocity and participation underline social capital's context specificity. Narratives suggest that the neighbourhood's potential for sustaining inclusive social ties, for social integration, tolerance, solidarity and 'thin' (as well as 'thick') trust is contingent on certain resources and conditions. They indicate also how local work history is reflected in the organic nature of social capital. Informed by Giddens' structuration theory, an alternative approach for exploring process is suggested which considers social networks as key mediators in recursive relationships between structures and agency.",Sociol.-J. Brit. Sociol. Assoc.
864,"BOTTERO, W",2004,Class identities and the identity of class,class identities; hierarchy; social distance,PROMISING FUTURE; SOCIAL-CLASS; PERSPECTIVES; MOBILITY,"In rejecting both arguments of the 'death of class', and the increasingly minimalist positions of class traditionalists, a newer generation of class theorists have transformed the scope and analytical framework of class analysis: inflating 'class' to include social and cultural formations, reconfiguring the causal model that has underpinned class analysis, and abandoning the notion of distinct class identities or groups, focusing instead on individualized hierarchical differentiation. There are problems with transforming 'class' in this fashion, although the difficulty lies not in the departures from traditional class theory, but rather in what is retained. The uneasy relationship between older and newer aspects of 'class' within renewed class theory means the wider implications of inequality considered as individualized hierarchy (rather than as 'class') have not been fully explored. The debate on class identities (an important example of this new form of class analysis) illustrates these difficulties, and shows that issues of hierarchy extend well beyond issues of 'class'.",Sociol.-J. Brit. Sociol. Assoc.
866,"NICHOLS, T; CAM, S; CHOU, WCG; CHUN, S; ZHAO, W; FENG, TQ",2004,"Factory regimes and the dismantling of established labour in Asia: a review of cases from large manufacturing plants in China, South Korea and Taiwan",East Asia; established labour; factory regimes; hegemony,GLOBALIZATION,"This article is about factory regimes and more particularly about changes in factory regimes in East Asia. Its point of departure is Burawoy's early and highly influential contribution to the understanding of factory regimes (Burawoy, 1985), which has very often been associated with the idea of 'hegemonic despotism' and increased attempts by management at ideological control. The article seeks to go beyond this particular interpretation. Theoretically, it seeks to make explicit and in one case expand elements in Burawoy's original work by distinguishing three aspects of labour regimes: labour control, material support and contract. It then considers three factories in China, Taiwan and South Korea in the light of this reformulation and, by paying due regard to issues related to material support and contract, and not only to control, it advances the claim that some of the most significant changes that are occurring amount in each case to the dismantling of established labour - that is, labour that is generally permanent and relatively privileged not only with respect to wages but usually also other forms of material support.",Work Employ. Soc.
867,"SALLAZ, JJ",2004,"Manufacturing concessions: attritionary outsourcing at General Motor's Lordstown, USA assembly plant",auto industry; deindustrialization; labor relations,POLITICAL-ECONOMY; UNITED-STATES; JOB LOSS,"Workers at the General Motors (GM) auto assembly factory in Lordstown, Ohio, USA, fabled in the industrial sociology literature because of their militancy during a 1972 labor dispute, have over the past decade approved a succession of contracts whittling down the labor force from 12,000 to around 3000 today. These reductions were accomplished by 'attritionary outsourcing'. To explain why labor has accepted such job loss, this interview project with Lordstown workers extends accepted accounts of deindustrialization by considering the political, material and ideological conditions underlying concessionary bargaining. As the tactic known as 'whipsawing' became less credible and consequential, GM turned to tactics that actively secure worker consent to job loss. Here one can see the replacement of Burawoy's hegemonic despotism by a despotic hegemony.",Work Employ. Soc.
868,"MULHOLLAND, K",2004,"Workplace resistance in an Irish call centre: slammin', scammin' smokin' an' leavin'",informal collective responses; responses; tacit alliances; trade union organization,MANAGEMENT; CUSTOMERS; LABOR,"This article examines workplace conflict in an Irish call centre. It criticizes managerial and post-structural accounts of resistance for failing to see that workplace conflict continues to be located in structural issues, such as the employment relationship, making pay, productivity and work intensification the source of conflict. In adopting Martinez Lucio and Stewart's (1997) notion of the collective worker, the article will show that in subordinated work conditions, workers engage in a recipe of informal collective practices that are organically borne out of their daily work experiences.",Work Employ. Soc.
869,"FLEMING, P; HARLEY, B; SEWELL, G",2004,A little knowledge is a dangerous thing: getting below the surface of the growth of 'knowledge work' in Australia,Australian occupational change; disaggregated data; knowledge work; labour; skills,ORGANIZATIONAL KNOWLEDGE; SERVICES; SKILLS,"This article critically addresses the claim that there has been a striking growth in 'knowledge work' in advanced economies. Using the Australian Bureau of Statistics Labour Force Survey, we examine occupational change from 1986 to 2000 to evaluate the support for this claim, Researchers have usually relied on aggregate, level data to justify the presence of a burgeoning knowledge-based workforce, but we contend that we must 'get below the surface' of the major occupational groups by disaggregating the data. This enables us to demonstrate that a substantial component of the apparent growth in knowledge work is accounted for by an increase in low-level information handling occupations rather than by a growth in knowledge work as it is commonly conceived. The article then develops an interpretive framework that makes sense of the data in a manner that avoids both overestimating the prevalence of the 'knowledge worker' and underestimating the knowledge-related activities in jobs commonly considered to be low-skilled and bereft of important competencies.",Work Employ. Soc.
870,"BACON, N; BLYTON, P",2004,Trade union responses to workplace restructuring: exploring union orientations and actions,bargaining; militancy; moderation; negotiations; trade unions,PARTNERSHIP; STRATEGIES; BRITAIN; WORK,"In this article we identify four distinct types of union responses to workplace restructuring on the basis of different combinations of ideological orientations and actions in collective bargaining. Four union branches are described, each making one of these different types of response when required to negotiate the introduction of teamworking in two steel plants. We report a wide variation in the subsequent outcomes from teamworking for management and workers in each department according to union response. However, no single type of response optimized all types of outcomes, suggesting union strategies involve important and purposeful trade-offs in outcomes.",Work Employ. Soc.
871,"DE TURBERVILLE, S",2004,Does the 'organizing model' represent a credible union renewal strategy?,mobilizing model; organizing model; participation; recruitment; trade union,DENSITY; DECLINE; BRITAIN,"The organizing model of union renewal is a significant influence for many UK unions. This article recognizes that a focus on the organizing model has made it a useful rhetorical device that has reminded individuals of their shared material interests and helped to generate collective efforts amongst diverse interest groups: That being said, a critical examination calls the rationales for adopting the organizing model, and the concepts that underpin it; into question, and suggests that it represents an inadequate solution to problems generated by the diverse identities of unions operating in different contexts. The conclusion calls into question the extent to which the organizing model can maintain its analytical and practical value to the union-renewal debate.",Work Employ. Soc.
872,"QUANDT, M; OHR, D",2004,How to decide about nothing? Low cost situations in the rational choice modelling of norm-oriented behaviour,low cost situation; decision making; collective good; social norm; rational behaviour; rational choice theory,APPROPRIATE TRAVEL BEHAVIOR; ENVIRONMENTAL BEHAVIOR; GENERAL ATTITUDES; 2-STAGE MODEL; DEFINITION; ALTRUISM; POLITICS; EXAMPLE; VALUES,"Rational choice theories appear to have difficulties when it comes to explain behaviour in so called 'low cost, low benefit' situations. As a consequence, low cost situations are sometimes regarded as a serious problem of the rational choice paradigm as a whole. We demonstrate that, quite to the contrary, theories of rational action are perfectly well suited to understand the logic of low cost situations. The costs of information and decision making on the part of the actor and the clarity of incentive or cost structures on the part of the situation prove to be the central variables. Since there is a close link between low cost situations and certain collective good problems, the role of these variables is discussed with regard to the production of collective goods. In adapting an established model of routine based decision making, we show how the threshold of a low cost situation can be determined analytically.",Koln. Z. Soziol. Sozialpsych.
877,"NETTLETON, S",2004,The emergence of e-scaped medicine?,bodies; ICTs; information; medical knowledge,COMPLEXITY SCIENCE; HEALTH,"This article asks the question, is it possible to decipher a new 'medical cosmology' that possesses an elective affinity with contemporary soci-technological changes? It tentatively answers in the positive and attempts to identify the parameters of a new medical cosmology that it terms e-scaped medicine. To discern the conceptual underpinnings of e-scaped medicine the article draws on De Mul's theorization of the 'informatization of the worldview'. The article elaborates on this thesis in relation to medicine's prime object-the body-and to a number of medical practices that surround it.",Sociol.-J. Brit. Sociol. Assoc.
879,"BABER, Z",2004,"'Race', religion and riots: The 'racialization' of communal identity and conflict in India",communalism; cultural racism; racialization; social construction of race,POLITICS; IMAGINATION; SECULARISM; ETHNICITY,"This article offers an alternative framework for understanding 'communal' conflict in India. Largely because recurring sectarian conflicts involve groups whose boundaries are demarcated by religion, most scholars have focused their attention on either specific religious doctrines or the policy of secularism to explain the phenomenon. In this article it is argued that significance of religion, secularism or anti-secularism has been overemphasized in the interpretation of communal conflict in India. The concept of 'racialization' is deployed to argue that in India communal identities have in fact been 'racialized' and recurring conflicts share striking structural and ideological similarities with racial conflicts in other parts of the world. A historical narrative of the political process of 'racialization' of identities in India is offered with the aim of re-thinking existing explanations of such conflicts.",Sociol.-J. Brit. Sociol. Assoc.
